id,section,word,meaning,example,exampleJa,category,note
449,3,be required for,〜に必要である,The expression “be required for” is useful for reading this level of academic argument.,「be required for（〜に必要である）」はこの難易度帯の学術的議論を読むうえで有用である。,Grammar frames,読解時に一つの意味単位として認識する。
450,3,be characteristic of,〜に特徴的である,The expression “be characteristic of” is useful for reading this level of academic argument.,「be characteristic of（〜に特徴的である）」はこの難易度帯の学術的議論を読むうえで有用である。,Grammar frames,読解時に一つの意味単位として認識する。
451,4,as a consequence,その結果,The connector “as a consequence” signals an important logical relation.,「as a consequence（その結果）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
452,4,consequently,その結果,The connector “consequently” signals an important logical relation.,「consequently（その結果）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
453,4,therefore,したがって,The connector “therefore” signals an important logical relation.,「therefore（したがって）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
454,4,thus,したがって；このように,The connector “thus” signals an important logical relation.,「thus（したがって；このように）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
455,4,hence,したがって,The connector “hence” signals an important logical relation.,「hence（したがって）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
456,4,accordingly,それに応じて；したがって,The connector “accordingly” signals an important logical relation.,「accordingly（それに応じて；したがって）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
457,4,for that reason,その理由で,The connector “for that reason” signals an important logical relation.,「for that reason（その理由で）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
458,4,this is why,だからこそ,The connector “this is why” signals an important logical relation.,「this is why（だからこそ）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
459,4,which is why,そのため,The connector “which is why” signals an important logical relation.,「which is why（そのため）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
460,4,as a consequence of,〜の結果として,The connector “as a consequence of” signals an important logical relation.,「as a consequence of（〜の結果として）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
461,4,as a result of,〜の結果として,The connector “as a result of” signals an important logical relation.,「as a result of（〜の結果として）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
462,4,by means of,〜によって,The connector “by means of” signals an important logical relation.,「by means of（〜によって）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
463,4,through the use of,〜を用いることによって,The connector “through the use of” signals an important logical relation.,「through the use of（〜を用いることによって）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
464,4,in contrast to,〜とは対照的に,The connector “in contrast to” signals an important logical relation.,「in contrast to（〜とは対照的に）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
465,4,in opposition to,〜に対立して,The connector “in opposition to” signals an important logical relation.,「in opposition to（〜に対立して）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
466,4,as opposed to,〜ではなく；〜と対照的に,The connector “as opposed to” signals an important logical relation.,「as opposed to（〜ではなく；〜と対照的に）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
467,4,unlike,〜とは異なり,The connector “unlike” signals an important logical relation.,「unlike（〜とは異なり）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
468,4,similarly,同様に,The connector “similarly” signals an important logical relation.,「similarly（同様に）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
469,4,likewise,同様に,The connector “likewise” signals an important logical relation.,「likewise（同様に）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
470,4,in the same way,同じように,The connector “in the same way” signals an important logical relation.,「in the same way（同じように）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
471,4,by the same token,同じ理由で,The connector “by the same token” signals an important logical relation.,「by the same token（同じ理由で）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
472,4,to the same extent,同じ程度に,The connector “to the same extent” signals an important logical relation.,「to the same extent（同じ程度に）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
473,4,to a greater extent,より大きな程度で,The connector “to a greater extent” signals an important logical relation.,「to a greater extent（より大きな程度で）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
474,4,to a lesser extent,より小さな程度で,The connector “to a lesser extent” signals an important logical relation.,「to a lesser extent（より小さな程度で）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
475,4,more importantly,さらに重要なことに,The connector “more importantly” signals an important logical relation.,「more importantly（さらに重要なことに）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
476,4,equally important,同様に重要なことに,The connector “equally important” signals an important logical relation.,「equally important（同様に重要なことに）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
477,4,in contrast with,〜との対比で,The connector “in contrast with” signals an important logical relation.,「in contrast with（〜との対比で）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
478,4,provided that,〜という条件で,The connector “provided that” signals an important logical relation.,「provided that（〜という条件で）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
479,4,providing that,〜という条件で,The connector “providing that” signals an important logical relation.,「providing that（〜という条件で）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
480,4,on condition that,〜という条件で,The connector “on condition that” signals an important logical relation.,「on condition that（〜という条件で）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
481,4,only if,〜の場合に限って,The connector “only if” signals an important logical relation.,「only if（〜の場合に限って）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
482,4,if and only if,〜である場合かつその場合に限り,The connector “if and only if” signals an important logical relation.,「if and only if（〜である場合かつその場合に限り）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
483,4,unless,〜でない限り,The connector “unless” signals an important logical relation.,「unless（〜でない限り）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
484,4,otherwise,そうでなければ,The connector “otherwise” signals an important logical relation.,「otherwise（そうでなければ）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
485,4,in the event that,もし〜の場合には,The connector “in the event that” signals an important logical relation.,「in the event that（もし〜の場合には）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
486,4,assuming that,〜と仮定すれば,The connector “assuming that” signals an important logical relation.,「assuming that（〜と仮定すれば）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
487,4,given that,〜であることを考えると；〜なので,The connector “given that” signals an important logical relation.,「given that（〜であることを考えると；〜なので）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
488,4,given the fact that,〜という事実を考えると,The connector “given the fact that” signals an important logical relation.,「given the fact that（〜という事実を考えると）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
489,4,supposing that,〜と仮定すると,The connector “supposing that” signals an important logical relation.,「supposing that（〜と仮定すると）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
490,4,even when,〜の場合でさえ,The connector “even when” signals an important logical relation.,「even when（〜の場合でさえ）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
491,4,even where,〜のところでさえ,The connector “even where” signals an important logical relation.,「even where（〜のところでさえ）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
492,4,regardless of,〜にかかわらず,The connector “regardless of” signals an important logical relation.,「regardless of（〜にかかわらず）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
493,4,irrespective of,〜にかかわらず,The connector “irrespective of” signals an important logical relation.,「irrespective of（〜にかかわらず）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
494,4,whether or not S,Sであるかどうかにかかわらず,The connector “whether or not S” signals an important logical relation.,「whether or not S（Sであるかどうかにかかわらず）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
495,4,to the extent that,〜する程度に；〜する限り,The connector “to the extent that” signals an important logical relation.,「to the extent that（〜する程度に；〜する限り）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
496,4,insofar as,〜する限りにおいて,The connector “insofar as” signals an important logical relation.,「insofar as（〜する限りにおいて）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
497,4,to the degree that,〜する程度に,The connector “to the degree that” signals an important logical relation.,「to the degree that（〜する程度に）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
498,4,as far as S is concerned,Sに関する限り,The connector “as far as S is concerned” signals an important logical relation.,「as far as S is concerned（Sに関する限り）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
499,4,when it comes to,〜ということになると,The connector “when it comes to” signals an important logical relation.,「when it comes to（〜ということになると）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
500,4,nevertheless,それにもかかわらず,The connector “nevertheless” signals an important logical relation.,「nevertheless（それにもかかわらず）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
501,4,nonetheless,それにもかかわらず,The connector “nonetheless” signals an important logical relation.,「nonetheless（それにもかかわらず）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
502,4,however,しかしながら,The connector “however” signals an important logical relation.,「however（しかしながら）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
503,4,still,それでも,The connector “still” signals an important logical relation.,「still（それでも）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
504,4,yet,しかし,The connector “yet” signals an important logical relation.,「yet（しかし）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
505,4,even so,それでも,The connector “even so” signals an important logical relation.,「even so（それでも）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
506,4,all the same,それでも,The connector “all the same” signals an important logical relation.,「all the same（それでも）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
507,4,on the contrary,それどころか；反対に,The connector “on the contrary” signals an important logical relation.,「on the contrary（それどころか；反対に）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
508,4,conversely,逆に,The connector “conversely” signals an important logical relation.,「conversely（逆に）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
509,4,alternatively,別の可能性として,The connector “alternatively” signals an important logical relation.,「alternatively（別の可能性として）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
510,4,in turn,次いで；その結果,The connector “in turn” signals an important logical relation.,「in turn（次いで；その結果）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
511,4,by comparison,比較すると,The connector “by comparison” signals an important logical relation.,「by comparison（比較すると）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
512,4,in comparison,比較すると,The connector “in comparison” signals an important logical relation.,「in comparison（比較すると）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
513,4,in parallel,並行して,The connector “in parallel” signals an important logical relation.,「in parallel（並行して）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
514,4,in a similar fashion,同様の仕方で,The connector “in a similar fashion” signals an important logical relation.,「in a similar fashion（同様の仕方で）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
515,4,in a similar manner,同様の仕方で,The connector “in a similar manner” signals an important logical relation.,「in a similar manner（同様の仕方で）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
516,4,correspondingly,それに対応して,The connector “correspondingly” signals an important logical relation.,「correspondingly（それに対応して）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
517,4,respectively,それぞれ,The connector “respectively” signals an important logical relation.,「respectively（それぞれ）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
518,4,in each case,それぞれの場合に,The connector “in each case” signals an important logical relation.,「in each case（それぞれの場合に）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
519,4,in every case,すべての場合に,The connector “in every case” signals an important logical relation.,「in every case（すべての場合に）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
520,4,under either condition,どちらの条件でも,The connector “under either condition” signals an important logical relation.,「under either condition（どちらの条件でも）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
521,4,under both conditions,両方の条件で,The connector “under both conditions” signals an important logical relation.,「under both conditions（両方の条件で）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
522,4,depending on,〜に応じて,The connector “depending on” signals an important logical relation.,「depending on（〜に応じて）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
523,4,depending upon,〜に応じて,The connector “depending upon” signals an important logical relation.,「depending upon（〜に応じて）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
524,4,provided only that,〜という条件さえ満たせば,The connector “provided only that” signals an important logical relation.,「provided only that（〜という条件さえ満たせば）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
525,4,except when,〜の場合を除いて,The connector “except when” signals an important logical relation.,「except when（〜の場合を除いて）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
526,4,except where,〜のところを除いて,The connector “except where” signals an important logical relation.,「except where（〜のところを除いて）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
527,4,only when,〜の場合にのみ,The connector “only when” signals an important logical relation.,「only when（〜の場合にのみ）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
528,4,only where,〜のところでのみ,The connector “only where” signals an important logical relation.,「only where（〜のところでのみ）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
529,4,only insofar as,〜する限りにおいてのみ,The connector “only insofar as” signals an important logical relation.,「only insofar as（〜する限りにおいてのみ）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
530,4,in case,〜の場合に備えて,The connector “in case” signals an important logical relation.,「in case（〜の場合に備えて）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
531,4,in the case of,〜の場合には,The connector “in the case of” signals an important logical relation.,「in the case of（〜の場合には）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
532,4,in cases where,〜する事例では,The connector “in cases where” signals an important logical relation.,「in cases where（〜する事例では）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
533,4,whenever,〜するときはいつでも,The connector “whenever” signals an important logical relation.,「whenever（〜するときはいつでも）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
534,4,wherever,〜するところではどこでも,The connector “wherever” signals an important logical relation.,「wherever（〜するところではどこでも）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
535,4,however much,どれほど〜でも,The connector “however much” signals an important logical relation.,「however much（どれほど〜でも）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
536,4,however little,どれほど少なくても,The connector “however little” signals an important logical relation.,「however little（どれほど少なくても）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
537,4,no matter how,どれほど〜でも,The connector “no matter how” signals an important logical relation.,「no matter how（どれほど〜でも）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
538,4,no matter whether,〜かどうかにかかわらず,The connector “no matter whether” signals an important logical relation.,「no matter whether（〜かどうかにかかわらず）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
539,4,even assuming that,たとえ〜と仮定しても,The connector “even assuming that” signals an important logical relation.,「even assuming that（たとえ〜と仮定しても）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
540,4,even granting that,たとえ〜を認めても,The connector “even granting that” signals an important logical relation.,「even granting that（たとえ〜を認めても）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
541,4,granted that,〜を認めるとして,The connector “granted that” signals an important logical relation.,「granted that（〜を認めるとして）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
542,4,admittedly,確かに；認めるべきことに,The connector “admittedly” signals an important logical relation.,「admittedly（確かに；認めるべきことに）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
543,4,to be sure,確かに,The connector “to be sure” signals an important logical relation.,「to be sure（確かに）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
544,4,despite this,それにもかかわらず,The connector “despite this” signals an important logical relation.,「despite this（それにもかかわらず）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
545,4,despite the fact that,〜という事実にもかかわらず,The connector “despite the fact that” signals an important logical relation.,「despite the fact that（〜という事実にもかかわらず）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
546,4,notwithstanding,〜にもかかわらず,The connector “notwithstanding” signals an important logical relation.,「notwithstanding（〜にもかかわらず）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
547,4,by virtue of the fact that,〜という事実によって,The connector “by virtue of the fact that” signals an important logical relation.,「by virtue of the fact that（〜という事実によって）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
548,4,because S,Sなので,The connector “because S” signals an important logical relation.,「because S（Sなので）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
549,4,since S,Sなので；S以来,The connector “since S” signals an important logical relation.,「since S（Sなので；S以来）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
550,4,as S,Sなので；Sするにつれて,The connector “as S” signals an important logical relation.,「as S（Sなので；Sするにつれて）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
551,4,now that S,今やSなので,The connector “now that S” signals an important logical relation.,「now that S（今やSなので）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
552,4,given X,Xを考慮すると,The connector “given X” signals an important logical relation.,「given X（Xを考慮すると）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
553,4,because of X,Xのために,The connector “because of X” signals an important logical relation.,「because of X（Xのために）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
554,4,due to X,Xが原因で,The connector “due to X” signals an important logical relation.,「due to X（Xが原因で）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
555,4,owing to X,Xのために,The connector “owing to X” signals an important logical relation.,「owing to X（Xのために）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
556,4,thanks to X,Xのおかげで,The connector “thanks to X” signals an important logical relation.,「thanks to X（Xのおかげで）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
557,4,as long as S,Sである限り,The connector “as long as S” signals an important logical relation.,「as long as S（Sである限り）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
558,4,so long as S,Sである限り,The connector “so long as S” signals an important logical relation.,「so long as S（Sである限り）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
559,4,if S,もしSなら,The connector “if S” signals an important logical relation.,「if S（もしSなら）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
560,4,if not S,もしSでなければ,The connector “if not S” signals an important logical relation.,「if not S（もしSでなければ）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
561,4,even if S,たとえSでも,The connector “even if S” signals an important logical relation.,「even if S（たとえSでも）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
562,4,even though S,Sにもかかわらず,The connector “even though S” signals an important logical relation.,「even though S（Sにもかかわらず）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
563,4,although S,Sだけれども,The connector “although S” signals an important logical relation.,「although S（Sだけれども）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
564,4,though S,Sだけれども,The connector “though S” signals an important logical relation.,「though S（Sだけれども）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
565,4,while S,Sである一方で,The connector “while S” signals an important logical relation.,「while S（Sである一方で）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
566,4,whereas S,Sである一方で,The connector “whereas S” signals an important logical relation.,「whereas S（Sである一方で）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
567,4,rather than X,Xではなく,The connector “rather than X” signals an important logical relation.,「rather than X（Xではなく）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
568,4,instead of X,Xの代わりに,The connector “instead of X” signals an important logical relation.,「instead of X（Xの代わりに）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
569,4,as well as X,Xだけでなく,The connector “as well as X” signals an important logical relation.,「as well as X（Xだけでなく）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
570,4,in addition to X,Xに加えて,The connector “in addition to X” signals an important logical relation.,「in addition to X（Xに加えて）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
571,4,besides X,Xに加えて,The connector “besides X” signals an important logical relation.,「besides X（Xに加えて）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
572,4,apart from X,Xを別にすれば,The connector “apart from X” signals an important logical relation.,「apart from X（Xを別にすれば）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
573,4,except for X,Xを除いて,The connector “except for X” signals an important logical relation.,「except for X（Xを除いて）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
574,4,in contrast with X,Xと対照的に,The connector “in contrast with X” signals an important logical relation.,「in contrast with X（Xと対照的に）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
575,4,compared with X,Xと比較して,The connector “compared with X” signals an important logical relation.,「compared with X（Xと比較して）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
576,4,compared to X,Xと比較して,The connector “compared to X” signals an important logical relation.,「compared to X（Xと比較して）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
577,4,similar to X,Xに似て,The connector “similar to X” signals an important logical relation.,「similar to X（Xに似て）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
578,4,different from X,Xと異なって,The connector “different from X” signals an important logical relation.,「different from X（Xと異なって）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
579,4,"the more X, the more Y",XであればあるほどY,"The connector “the more X, the more Y” signals an important logical relation.","「the more X, the more Y（XであればあるほどY）」は重要な論理関係を示す。",Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
580,4,"the less X, the less Y",Xが少ないほどYも少ない,"The connector “the less X, the less Y” signals an important logical relation.","「the less X, the less Y（Xが少ないほどYも少ない）」は重要な論理関係を示す。",Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
581,4,"the more X, the less Y",Xが多いほどYは少ない,"The connector “the more X, the less Y” signals an important logical relation.","「the more X, the less Y（Xが多いほどYは少ない）」は重要な論理関係を示す。",Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
582,4,no sooner X than Y,XするとすぐY,The connector “no sooner X than Y” signals an important logical relation.,「no sooner X than Y（XするとすぐY）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
583,4,whether X or Y,XであろうとYであろうと,The connector “whether X or Y” signals an important logical relation.,「whether X or Y（XであろうとYであろうと）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
584,4,not X but Y,XではなくY,The connector “not X but Y” signals an important logical relation.,「not X but Y（XではなくY）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
585,4,not so much X as Y,XというよりむしろY,The connector “not so much X as Y” signals an important logical relation.,「not so much X as Y（XというよりむしろY）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
586,4,both X and Y,XとYの両方,The connector “both X and Y” signals an important logical relation.,「both X and Y（XとYの両方）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
587,4,either X or Y,XかYのどちらか,The connector “either X or Y” signals an important logical relation.,「either X or Y（XかYのどちらか）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
588,4,neither X nor Y,XでもYでもない,The connector “neither X nor Y” signals an important logical relation.,「neither X nor Y（XでもYでもない）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
589,4,not only X but also Y,XだけでなくYも,The connector “not only X but also Y” signals an important logical relation.,「not only X but also Y（XだけでなくYも）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
590,4,X as well as Y,YだけでなくXも,The connector “X as well as Y” signals an important logical relation.,「X as well as Y（YだけでなくXも）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
591,4,X rather than Y,YではなくX,The connector “X rather than Y” signals an important logical relation.,「X rather than Y（YではなくX）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
592,4,X instead of Y,Yの代わりにX,The connector “X instead of Y” signals an important logical relation.,「X instead of Y（Yの代わりにX）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
593,4,X compared with Y,Yと比較したX,The connector “X compared with Y” signals an important logical relation.,「X compared with Y（Yと比較したX）」は重要な論理関係を示す。,Logic and relations,因果・対比・条件・譲歩の関係を素早く読む。
594,4,for the same reason,同じ理由で,The expression “for the same reason” is useful for reading this level of academic argument.,「for the same reason（同じ理由で）」はこの難易度帯の学術的議論を読むうえで有用である。,Logic and relations,読解時に一つの意味単位として認識する。
